PCTNAME,PCTCODE,MCDNAME,COUNTYNAME,COUNTYCODE,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,PARKDIST,HOSPDIST,WARD,TABSYSTEM,TABMODEL,MAILBALLOT,7AM,EDR,SIGNATURES,REGMILOVAB,FEDONLYAB,PRESONLYAB,TOTVOTING,USPRSR,USPRSDFL,USPRSLIB,USPRSSWP,USPRSCP,USPRSCG,USPRSGP,USPRSGR,USPRSSL,USPRSJP,USPRSWI,USPRSTOTAL,USSENIP,USSENR,USSENDFL,USSENGR,USSENMOP,USSENWI,USSENTOTAL,USREPIP,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNSENIP,MNSENR,MNSENDFL,MNSENWI,MNSENTOTAL,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL,MNCA1YES,MNCA1NO,MNCA1EST,MNCA1TOTAL,MNCA2YES,MNCA2NO,MNCA2EST,MNCA2TOTAL,VTDID
MAPLEWOOD P-03,0150,Maplewood,Ramsey,62,4,43,43A,07,02,4123,,,,Precinct Tabulator,Accuvote,,1150,230,1056,105,0,0,1161,419,717,7,1,2,0,3,3,0,0,2,1154,25,284,789,7,6,0,1111,69,339,665,1,1074,0,386,666,2,1054,0,439,599,0,1038,514,625,22,1161,462,670,29,1161,271230150
MAPLEWOOD P-04,0160,Maplewood,Ramsey,62,4,43,43A,07,02,4123,,,,Precinct Tabulator,Accuvote,,803,175,775,59,1,0,835,278,534,10,1,1,0,3,1,0,0,2,830,20,170,587,5,7,3,792,63,197,514,2,776,0,228,538,5,771,0,277,478,3,758,368,454,13,835,337,484,14,835,271230160
MAPLEWOOD P-05,0170,Maplewood,Ramsey,62,4,43,43A,07,02,4123,,,,Precinct Tabulator,Accuvote,,1207,233,1151,90,1,0,1242,445,766,16,0,2,0,4,1,0,1,4,1239,42,276,849,23,5,0,1195,103,346,725,3,1177,0,390,759,4,1153,0,509,641,1,1151,559,667,16,1242,561,667,14,1242,271230170
MAPLEWOOD P-06,0180,Maplewood,Ramsey,62,4,43,43A,07,02,4123,,,,Precinct Tabulator,Accuvote,,1624,295,1398,231,1,0,1630,624,972,16,1,1,1,1,1,0,3,6,1626,43,377,1137,10,6,2,1575,98,467,955,4,1524,0,527,985,5,1517,0,646,853,6,1505,795,800,35,1630,760,833,37,1630,271230180
MAPLEWOOD P-07,0190,Maplewood,Ramsey,62,4,43,43A,07,02,4123,,,,Precinct Tabulator,Accuvote,,1889,369,1687,211,2,0,1900,795,1062,13,3,2,0,3,0,0,2,7,1887,47,495,1259,14,11,1,1827,117,613,1044,3,1777,0,665,1064,4,1733,0,773,946,5,1724,884,979,37,1900,873,992,35,1900,271230190
MAPLEWOOD P-08,0200,Maplewood,Ramsey,62,4,43,43A,07,02,4123,,,,Precinct Tabulator,Accuvote,,1706,342,1601,181,0,0,1782,769,974,19,0,4,0,3,1,1,2,3,1776,53,498,1134,12,7,0,1704,105,625,922,3,1655,0,657,991,2,1650,0,804,852,3,1659,883,868,31,1782,889,866,27,1782,271230200
MAPLEWOOD P-09,0210,Maplewood,Ramsey,62,4,43,43A,07,02,4123,,,,Precinct Tabulator,Accuvote,,735,147,584,143,1,0,728,263,446,11,0,0,0,1,1,1,0,2,725,29,159,488,4,6,0,686,45,194,425,0,664,0,229,420,1,650,0,276,379,0,655,402,310,16,728,316,391,21,728,271230210
MAPLEWOOD P-10,0220,Maplewood,Ramsey,62,4,43,43B,07,02,4123,,,,Precinct Tabulator,Accuvote,,1538,304,1385,148,5,0,1538,535,931,32,0,0,1,9,1,0,3,11,1523,47,348,1048,20,15,1,1479,123,430,900,0,1453,0,468,956,3,1427,0,505,902,2,1409,699,804,35,1538,687,813,38,1538,271230220
MAPLEWOOD P-11,0230,Maplewood,Ramsey,62,4,43,43B,07,02,4123,,,,Precinct Tabulator,Accuvote,,1172,241,1140,111,0,0,1251,490,725,15,2,3,0,3,0,0,2,2,1242,30,326,831,14,4,4,1209,71,399,696,4,1170,0,401,756,4,1161,0,458,685,4,1147,554,677,20,1251,585,652,14,1251,271230230
MAPLEWOOD P-12,0240,Maplewood,Ramsey,62,4,53,53A,07,02,4123,,,,Precinct Tabulator,Accuvote,,946,236,904,89,0,0,993,361,602,13,0,2,1,3,2,0,2,4,990,23,191,703,12,10,0,939,80,233,583,0,896,0,316,580,0,896,0,339,542,1,882,463,510,20,993,468,496,29,993,271230240
MAPLEWOOD P-13,0250,Maplewood,Ramsey,62,4,53,53A,07,02,4123,,,,Precinct Tabulator,Accuvote,,1588,369,1525,145,0,0,1670,611,1006,28,0,3,0,6,3,0,1,10,1668,42,373,1159,18,10,6,1608,131,450,969,5,1555,0,601,940,11,1552,0,591,926,10,1527,730,924,16,1670,777,873,20,1670,271230250
MAPLEWOOD P-14,0260,Maplewood,Ramsey,62,4,53,53A,07,02,4123,,,,Precinct Tabulator,Accuvote,,593,133,577,47,0,0,624,247,358,11,0,0,1,2,0,0,0,2,621,18,163,400,8,4,1,594,44,195,339,0,578,0,237,346,1,584,0,247,332,1,580,304,312,8,624,279,337,8,624,271230260
MAPLEWOOD P-15,0270,Maplewood,Ramsey,62,4,53,53A,07,02,4123,,,,Precinct Tabulator,Accuvote,,1717,261,1517,201,2,0,1720,590,1097,13,0,0,2,6,0,0,1,2,1711,27,402,1216,5,9,1,1660,77,486,1047,2,1612,0,599,1012,4,1615,0,627,984,2,1613,682,1007,31,1720,654,1035,31,1720,271230270
MAPLEWOOD P-16,0280,Maplewood,Ramsey,62,4,53,53A,07,02,4123,,,,Precinct Tabulator,Accuvote,,2110,300,1877,185,1,1,2064,958,1080,15,0,0,1,5,1,0,0,2,2062,48,617,1312,14,6,0,1997,113,753,1080,0,1946,0,925,1009,0,1934,0,942,996,0,1938,891,1143,30,2064,969,1066,29,2064,271230280
MOUNDS VIEW P-1,0290,Mounds View,Ramsey,62,4,42,42A,01,02,4123,,1420,,Precinct Tabulator,Accuvote,,2005,301,1780,208,1,0,1989,850,1078,22,1,2,2,12,5,0,2,5,1979,41,554,1335,15,6,2,1953,130,689,1060,1,1880,0,867,1001,3,1871,0,796,1049,5,1850,940,1036,13,1989,906,1061,22,1989,271230290
MOUNDS VIEW P-2,0300,Mounds View,Ramsey,62,4,42,42A,01,02,4123,,1420,,Precinct Tabulator,Accuvote,,1242,291,1187,81,0,0,1268,495,725,15,0,0,0,14,3,0,3,11,1266,38,324,838,17,13,4,1234,115,401,676,3,1195,0,506,693,2,1201,0,467,722,2,1191,556,703,9,1268,585,669,14,1268,271230300
MOUNDS VIEW P-3,0310,Mounds View,Ramsey,62,4,42,42A,01,02,4123,,1420,,Precinct Tabulator,Accuvote,,2118,324,1882,190,3,0,2075,916,1094,24,3,1,2,16,2,0,2,8,2068,63,596,1329,17,7,4,2016,140,735,1068,5,1948,0,896,1034,5,1935,0,852,1076,8,1936,1007,1043,25,2075,978,1074,23,2075,271230310
MOUNDS VIEW P-4,0320,Mounds View,Ramsey,62,4,42,42A,02,02,4123,,1420,,Precinct Tabulator,Accuvote,,1088,376,1123,71,0,0,1194,415,743,25,0,1,0,4,0,0,1,2,1191,42,238,834,28,2,1,1145,116,294,695,2,1107,0,391,699,2,1092,0,345,748,1,1094,442,741,11,1194,507,666,21,1194,271230320
NEW BRIGHTON P-1A,0330,New Brighton,Ramsey,62,4,41,41B,02,02,4123,,,,Precinct Tabulator,Accuvote,,2889,759,2810,230,1,2,3043,1209,1722,59,1,8,1,11,4,0,1,13,3029,88,869,1929,34,9,1,2930,226,964,1631,3,2824,0,1134,1652,9,2795,0,951,1472,4,2765,1411,1584,48,3043,1407,1586,50,3043,271230330
NEW BRIGHTON P-1B,0335,New Brighton,Ramsey,62,4,41,41B,02,02,4123,,,,Precinct Tabulator,Accuvote,,1060,187,935,123,1,0,1059,382,648,14,1,0,0,5,0,0,0,5,1055,25,237,752,7,2,1,1024,56,286,648,1,991,0,363,621,1,985,0,271,599,1,974,411,631,17,1059,397,645,17,1059,271230335
NEW BRIGHTON P-2,0340,New Brighton,Ramsey,62,4,41,41B,02,02,4123,,,,Precinct Tabulator,Accuvote,,2305,298,2035,201,3,0,2239,962,1219,28,0,4,3,5,1,1,1,8,2232,49,656,1439,12,11,4,2171,135,790,1173,4,2102,0,931,1146,7,2084,0,731,1046,2,2047,955,1243,41,2239,977,1221,41,2239,271230340
NEW BRIGHTON P-3,0350,New Brighton,Ramsey,62,4,41,41A,02,02,4123,,,,Precinct Tabulator,Accuvote,,3722,652,3388,406,8,0,3802,1569,2125,47,1,2,0,20,4,0,0,15,3783,71,1109,2427,31,14,4,3656,191,1313,2032,5,3541,0,1528,1967,9,3504,0,1470,1968,6,3444,1677,2049,76,3802,1692,2028,82,3802,271230350
NEW BRIGHTON P-4,0360,New Brighton,Ramsey,62,4,41,41A,02,02,4123,,,,Precinct Tabulator,Accuvote,,2799,403,2572,282,7,0,2861,1180,1617,20,2,7,3,9,1,0,5,7,2851,46,808,1862,42,8,1,2767,172,926,1593,2,2693,0,1161,1486,3,2650,0,1112,1521,4,2637,1241,1571,49,2861,1240,1580,41,2861,271230360
NORTH OAKS P-1,0370,North Oaks,Ramsey,62,4,38,38B,01,02,4123,,,,Precinct Tabulator,Accuvote,,1748,128,1316,338,5,0,1659,982,642,15,0,0,0,3,1,0,1,4,1648,29,695,883,9,1,3,1620,68,863,658,3,1592,0,954,605,4,1563,0,946,594,4,1544,694,930,35,1659,902,727,30,1659,271230370
NORTH OAKS P-2,0380,North Oaks,Ramsey,62,4,38,38B,01,02,4123,,,,Precinct Tabulator,Accuvote,,1679,165,1380,279,4,0,1663,1036,608,13,0,0,0,2,0,0,0,2,1661,23,732,854,3,1,2,1615,60,893,620,2,1575,0,1017,529,3,1549,0,999,527,4,1530,786,850,27,1663,933,704,26,1663,271230380
NORTH ST. PAUL P-1,0390,North St. Paul,Ramsey,62,4,43,43B,07,02,4123,,,,Precinct Tabulator,Accuvote,,1611,351,1549,143,2,0,1694,683,948,24,0,3,1,13,3,1,1,9,1686,69,409,1116,24,16,2,1636,144,515,938,1,1598,0,569,1003,2,1574,0,559,1008,1,1568,790,882,22,1694,793,878,23,1694,271230390
NORTH ST. PAUL P-2,0400,North St. Paul,Ramsey,62,4,43,43B,07,02,4123,,,,Precinct Tabulator,Accuvote,,1420,353,1400,97,2,0,1499,534,909,28,1,2,1,6,1,0,0,8,1490,48,320,1032,19,10,5,1434,110,408,866,5,1389,0,420,960,6,1386,0,433,920,5,1358,657,819,23,1499,655,816,28,1499,271230400
NORTH ST. PAUL P-3,0410,North St. Paul,Ramsey,62,4,43,43B,07,02,4123,,,,Precinct Tabulator,Accuvote,,1659,357,1635,98,0,0,1733,723,956,18,2,5,0,14,2,0,1,5,1726,54,433,1131,22,16,2,1658,125,541,945,2,1613,0,552,1062,0,1614,0,572,1014,1,1587,834,881,18,1733,819,891,23,1733,271230410
NORTH ST. PAUL P-4,0420,North St. Paul,Ramsey,62,4,43,43B,07,02,4123,,,,Precinct Tabulator,Accuvote,,1585,245,1469,145,5,0,1619,674,906,15,0,4,1,4,2,0,1,5,1612,36,451,1050,22,11,1,1571,121,539,885,2,1547,0,553,972,3,1528,0,574,947,3,1524,806,789,24,1619,791,803,25,1619,271230420
ROSEVILLE P-01,0430,Roseville,Ramsey,62,4,66,66A,02,02,4123,,,,Precinct Tabulator,Accuvote,,1874,644,1795,297,3,0,2095,1046,996,24,1,3,2,6,2,0,1,5,2086,47,808,1144,14,8,0,2021,127,872,935,2,1936,0,921,1007,4,1932,93,963,831,4,1891,1070,997,28,2095,1050,1002,43,2095,271230430
ROSEVILLE P-02,0440,Roseville,Ramsey,62,4,42,42B,02,02,4123,,,,Precinct Tabulator,Accuvote,,895,142,784,119,3,0,906,335,551,7,0,0,0,4,3,0,2,3,905,15,247,610,6,2,3,883,43,300,521,0,864,0,339,490,3,832,0,339,485,2,826,418,469,19,906,370,519,17,906,271230440
ROSEVILLE P-03,0450,Roseville,Ramsey,62,4,42,42B,02,02,4123,,,,Precinct Tabulator,Accuvote,,2464,482,2206,300,8,0,2514,894,1547,32,0,4,0,13,3,0,3,11,2507,69,620,1720,23,6,2,2440,112,756,1505,3,2376,0,876,1451,5,2332,0,858,1411,7,2276,963,1517,34,2514,965,1510,39,2514,271230450
ROSEVILLE P-04,0460,Roseville,Ramsey,62,4,42,42B,02,02,4123,,,,Precinct Tabulator,Accuvote,,3140,421,2776,377,8,0,3161,1299,1788,47,1,3,1,12,1,0,0,4,3156,51,904,2093,16,13,1,3078,147,1080,1778,2,3007,0,1167,1825,3,2995,0,1202,1685,4,2891,1372,1747,42,3161,1303,1818,40,3161,271230460
ROSEVILLE P-05,0470,Roseville,Ramsey,62,4,66,66A,02,02,4123,,,,Precinct Tabulator,Accuvote,,2356,344,2109,239,11,0,2359,780,1515,23,2,4,1,13,2,1,3,10,2354,50,582,1651,11,14,0,2308,117,665,1461,2,2245,0,704,1528,4,2236,115,724,1362,2,2203,791,1522,46,2359,813,1498,48,2359,271230470
ROSEVILLE P-06,0480,Roseville,Ramsey,62,4,66,66A,02,02,4123,,,,Precinct Tabulator,Accuvote,,1860,283,1668,177,2,0,1847,693,1095,29,1,2,2,11,1,0,2,2,1838,47,461,1267,12,5,1,1793,95,586,1063,1,1745,0,590,1113,3,1706,122,613,952,4,1691,734,1079,34,1847,680,1126,41,1847,271230480
ROSEVILLE P-07,0490,Roseville,Ramsey,62,4,66,66A,02,02,4123,,,,Precinct Tabulator,Accuvote,,2045,336,1812,244,4,0,2060,751,1269,21,1,1,0,7,2,1,1,6,2060,41,540,1412,15,8,1,2017,113,625,1220,2,1960,0,664,1268,4,1936,115,675,1103,4,1897,805,1232,23,2060,761,1279,20,2060,271230490
ROSEVILLE P-08,0500,Roseville,Ramsey,62,4,66,66A,02,02,4123,,,,Precinct Tabulator,Accuvote,,1914,471,1858,200,5,0,2063,756,1250,26,0,0,1,5,3,0,3,8,2052,51,553,1377,13,7,2,2003,111,638,1184,3,1936,0,675,1232,5,1912,126,686,1062,4,1878,837,1186,40,2063,844,1185,34,2063,271230500
ROSEVILLE P-09,0510,Roseville,Ramsey,62,4,66,66A,02,02,4123,,,,Precinct Tabulator,Accuvote,,2411,367,2089,278,7,0,2374,798,1514,27,1,7,3,10,2,0,1,4,2367,48,575,1645,19,4,1,2292,114,683,1437,0,2234,0,684,1484,10,2178,123,731,1291,2,2147,895,1432,47,2374,871,1455,48,2374,271230510
ROSEVILLE P-10,0520,Roseville,Ramsey,62,4,66,66A,02,02,4123,,,,Precinct Tabulator,Accuvote,,2035,315,1815,207,4,0,2026,651,1318,19,0,1,1,16,3,0,1,12,2022,45,450,1445,18,9,3,1970,114,540,1269,4,1927,0,580,1329,4,1913,126,625,1117,5,1873,774,1224,28,2026,743,1250,33,2026,271230520
ST ANTHONY P-1,0530,St. Anthony,Ramsey,62,5,41,41B,02,02,4123,,,,Precinct Tabulator,Model 100,,1682,540,1650,230,1,0,1881,665,1150,23,4,3,2,11,1,0,4,7,1870,46,450,1266,23,11,1,1797,0,631,1077,2,1710,0,613,1098,3,1714,0,501,972,1,1696,818,1018,45,1881,752,1082,47,1881,271230530
ST. PAUL W-1 P-01,0540,St. Paul,Ramsey,62,4,64,64A,04,02,4123,,,W-01,Precinct Tabulator,Accuvote,,1028,213,979,104,1,0,1084,167,873,18,0,0,0,14,0,0,1,3,1076,22,118,894,15,12,1,1062,47,158,845,0,1050,0,118,785,2,1019,0,168,843,1,1012,161,908,15,1084,173,904,7,1084,271230540
ST. PAUL W-1 P-02,0550,St. Paul,Ramsey,62,4,65,65A,04,02,4123,,,W-01,Precinct Tabulator,Accuvote,,1949,551,1800,97,3,0,1900,293,1528,30,1,2,0,32,2,0,2,7,1897,37,222,1521,22,19,2,1823,88,250,1432,5,1775,0,284,1456,8,1748,0,285,1410,6,1701,593,1265,42,1900,380,1482,38,1900,271230550
ST. PAUL W-1 P-03,0560,St. Paul,Ramsey,62,4,65,65A,03,02,4123,,,W-01,Precinct Tabulator,Accuvote,,1703,457,1572,59,3,0,1634,204,1380,15,1,0,0,15,0,2,2,5,1624,66,118,1287,32,31,3,1537,107,169,1209,4,1489,0,181,1279,10,1470,0,200,1218,9,1427,574,1001,59,1634,419,1149,66,1634,271230560
ST. PAUL W-1 P-04,0570,St. Paul,Ramsey,62,4,65,65A,03,02,4123,,,W-01,Precinct Tabulator,Accuvote,,1255,365,1071,51,0,0,1122,150,935,12,2,2,2,7,1,0,0,3,1114,32,97,870,16,17,1,1033,66,122,804,0,992,0,148,846,3,997,0,135,821,3,959,416,664,42,1122,305,750,67,1122,271230570
ST. PAUL W-1 P-05,0580,St. Paul,Ramsey,62,4,65,65A,04,02,4123,,,W-01,Precinct Tabulator,Accuvote,,1299,313,1100,47,0,0,1147,56,1057,4,1,0,0,10,1,0,1,1,1131,26,38,949,20,17,0,1050,35,66,917,2,1020,0,73,956,3,1032,0,69,940,4,1013,498,593,56,1147,240,847,60,1147,271230580
ST. PAUL W-1 P-06,0590,St. Paul,Ramsey,62,4,65,65A,04,02,4123,,,W-01,Precinct Tabulator,Accuvote,,2408,666,2317,132,7,0,2456,285,2092,26,0,3,2,19,4,0,2,8,2441,58,217,2017,26,37,2,2357,105,256,1917,7,2285,0,302,1933,7,2242,0,290,1907,7,2204,725,1633,98,2456,543,1831,82,2456,271230590
ST. PAUL W-1 P-07,0600,St. Paul,Ramsey,62,4,64,64A,04,02,4123,,,W-01,Precinct Tabulator,Accuvote,,1287,317,1282,104,6,0,1392,232,1103,30,1,1,1,10,2,0,2,6,1388,21,186,1125,8,6,1,1347,53,219,1047,0,1319,0,188,966,2,1279,0,225,1030,3,1258,203,1171,18,1392,268,1108,16,1392,271230600
ST. PAUL W-1 P-08,0610,St. Paul,Ramsey,62,4,65,65A,04,02,4123,,,W-01,Precinct Tabulator,Accuvote,,1882,616,1807,223,6,0,2036,322,1645,25,1,1,0,19,1,0,2,6,2022,52,221,1603,22,19,2,1919,79,289,1500,1,1869,0,316,1488,6,1810,0,316,1447,5,1768,510,1464,62,2036,457,1494,85,2036,271230610
ST. PAUL W-1 P-09,0620,St. Paul,Ramsey,62,4,65,65A,03,02,4123,,,W-01,Precinct Tabulator,Accuvote,,2071,744,1875,74,0,0,1949,229,1677,15,0,0,1,11,2,2,3,6,1946,79,167,1457,26,52,5,1786,135,199,1386,6,1726,0,237,1450,11,1698,0,239,1412,14,1665,862,989,98,1949,586,1251,112,1949,271230620
ST. PAUL W-1 P-10,0630,St. Paul,Ramsey,62,4,65,65B,03,02,4123,,,W-01,Precinct Tabulator,Accuvote,,356,145,342,12,0,0,354,61,280,7,1,0,0,2,0,0,0,2,353,10,41,254,12,4,2,323,20,46,247,0,313,0,53,246,1,300,0,58,224,2,284,144,197,13,354,101,237,16,354,271230630
ST. PAUL W-1 P-11,0640,St. Paul,Ramsey,62,4,65,65A,04,02,4123,,,W-01,Precinct Tabulator,Accuvote,,1008,308,858,66,0,0,924,70,827,5,0,1,0,9,0,1,0,5,918,17,49,711,18,15,1,811,39,73,648,1,761,0,85,679,3,767,0,77,652,4,733,469,399,56,924,240,605,79,924,271230640
ST. PAUL W-1 P-12,0650,St. Paul,Ramsey,62,4,65,65B,04,02,4123,,,W-01,Precinct Tabulator,Accuvote,,297,59,258,47,5,0,310,70,234,3,0,0,0,1,0,0,1,0,309,4,57,240,2,1,0,304,7,61,225,0,293,0,68,216,1,285,0,70,206,0,276,50,249,11,310,76,222,12,310,271230650
ST. PAUL W-1 P-13,0660,St. Paul,Ramsey,62,4,64,64A,04,02,4123,,,W-01,Precinct Tabulator,Accuvote,,1037,270,983,111,10,0,1104,207,866,18,1,0,0,6,1,0,1,2,1102,24,155,875,12,6,7,1079,42,187,824,5,1058,0,159,769,6,1017,0,181,826,5,1012,153,939,12,1104,207,879,18,1104,271230660
ST. PAUL W-1 P-14,0670,St. Paul,Ramsey,62,4,65,65B,05,02,4123,,,W-01,Precinct Tabulator,Accuvote,,842,222,759,37,0,0,796,59,719,1,0,0,4,3,1,0,2,1,790,27,46,532,11,14,1,631,41,67,487,1,596,0,81,466,4,551,0,92,433,4,529,364,311,121,796,207,447,142,796,271230670
ST. PAUL W-1 P-15,0675,St. Paul,Ramsey,62,4,65,65A,03,02,4123,,,W-01,Precinct Tabulator,Accuvote,,613,229,618,28,0,0,646,100,524,7,0,2,0,4,3,0,0,1,641,24,69,492,10,13,1,609,42,85,468,0,595,0,109,472,1,582,0,103,470,2,575,254,373,19,646,178,447,21,646,271230675
ST. PAUL W-1 P-16,0678,St. Paul,Ramsey,62,4,66,66B,03,02,4123,,,W-01,Precinct Tabulator,Accuvote,,204,45,199,14,0,0,213,42,168,2,0,0,0,1,0,0,0,0,213,3,26,173,2,0,0,204,10,33,156,0,199,0,37,161,0,198,0,40,154,0,194,60,149,4,213,48,163,2,213,271230678
ST. PAUL W-2 P-01,0680,St. Paul,Ramsey,62,4,64,64A,04,02,4123,,,W-02,Precinct Tabulator,Accuvote,,1449,287,1375,137,8,1,1521,281,1196,19,2,1,0,17,1,0,1,1,1519,28,204,1242,13,5,0,1492,61,266,1148,2,1477,0,208,1083,1,1437,0,257,1167,0,1424,215,1290,16,1521,315,1188,18,1521,271230680
ST. PAUL W-2 P-02,0690,St. Paul,Ramsey,62,4,64,64A,04,02,4123,,,W-02,Precinct Tabulator,Accuvote,,1548,292,1406,164,10,0,1580,360,1172,19,1,0,0,12,1,0,4,5,1574,23,242,1248,11,12,1,1537,57,303,1145,1,1506,0,246,1069,2,1464,0,325,1126,1,1452,216,1341,23,1580,315,1236,29,1580,271230690
ST. PAUL W-2 P-03,0700,St. Paul,Ramsey,62,4,65,65B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,2022,409,1844,126,3,0,1973,497,1389,35,4,2,1,13,2,0,1,18,1962,68,305,1480,27,17,4,1901,137,405,1293,1,1836,0,460,1355,7,1822,0,469,1261,3,1733,607,1328,38,1973,621,1315,37,1973,271230700
ST. PAUL W-2 P-04,0710,St. Paul,Ramsey,62,4,64,64A,04,02,4123,,,W-02,Precinct Tabulator,Accuvote,,1246,377,1252,163,4,0,1419,263,1111,17,0,0,0,13,0,0,2,3,1409,23,197,1127,9,12,1,1369,52,250,1028,4,1334,0,204,960,1,1303,0,259,1016,4,1279,179,1221,19,1419,255,1145,19,1419,271230710
ST. PAUL W-2 P-05,0720,St. Paul,Ramsey,62,4,65,65B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,1965,372,1778,122,1,0,1901,401,1424,27,0,3,3,19,4,0,1,9,1891,53,275,1467,26,19,4,1844,126,332,1337,2,1797,0,391,1390,5,1786,0,371,1353,7,1731,541,1336,24,1901,544,1337,20,1901,271230720
ST. PAUL W-2 P-06,0730,St. Paul,Ramsey,62,4,64,64B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,549,148,567,28,0,1,596,148,425,8,0,0,1,6,0,1,0,2,591,21,86,442,11,6,0,566,55,116,374,0,545,0,116,351,1,538,0,137,383,1,521,217,369,10,596,200,379,17,596,271230730
ST. PAUL W-2 P-07,0740,St. Paul,Ramsey,62,4,65,65B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,1868,509,1692,186,8,0,1886,415,1408,30,2,2,0,13,1,0,2,10,1883,47,264,1444,27,20,5,1807,112,337,1273,4,1726,0,378,1319,5,1702,0,401,1237,9,1647,482,1368,36,1886,535,1297,54,1886,271230740
ST. PAUL W-2 P-08,0750,St. Paul,Ramsey,62,4,65,65B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,1275,319,990,68,2,1,1061,207,813,17,1,3,0,5,1,0,1,5,1053,35,149,770,19,13,2,988,73,176,692,5,946,0,200,721,5,926,0,205,689,6,900,308,707,46,1061,303,714,44,1061,271230750
ST. PAUL W-2 P-09,0760,St. Paul,Ramsey,62,4,65,65B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,1573,484,1522,165,1,0,1688,310,1320,24,2,1,1,10,2,0,3,8,1681,47,206,1310,23,13,4,1603,92,249,1197,4,1542,0,293,1215,3,1511,0,314,1147,6,1467,402,1241,45,1688,438,1205,45,1688,271230760
ST. PAUL W-2 P-10,0770,St. Paul,Ramsey,62,4,67,67B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,118,55,49,0,0,0,49,9,37,0,0,0,1,1,0,0,0,0,48,2,8,30,2,1,0,43,4,10,29,0,43,0,15,29,0,44,0,10,33,0,43,28,20,1,49,19,29,1,49,271230770
ST. PAUL W-2 P-11,0780,St. Paul,Ramsey,62,4,65,65B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,1571,636,1747,143,9,0,1899,395,1409,47,1,2,0,18,0,4,1,12,1889,37,279,1455,25,19,7,1822,113,312,1330,9,1764,0,366,1358,9,1733,0,367,1322,9,1698,322,1540,37,1899,450,1405,44,1899,271230780
ST. PAUL W-2 P-12,0790,St. Paul,Ramsey,62,4,65,65B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,1681,291,1470,120,1,0,1591,332,1194,27,0,1,1,14,1,0,0,13,1583,29,231,1227,19,10,3,1519,73,301,1110,3,1487,0,323,1152,4,1479,0,309,1136,4,1449,396,1180,15,1591,398,1168,25,1591,271230790
ST. PAUL W-2 P-13,0800,St. Paul,Ramsey,62,4,65,65B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,1279,316,1133,138,1,0,1272,224,995,17,0,2,0,16,0,1,5,7,1267,43,148,1013,19,12,2,1237,84,200,915,5,1204,0,223,964,7,1194,0,222,946,6,1174,352,899,21,1272,322,919,31,1272,271230800
ST. PAUL W-2 P-14,0810,St. Paul,Ramsey,62,4,65,65B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,1560,337,1382,79,0,0,1461,306,1111,13,2,3,0,17,1,0,1,6,1460,46,204,1132,16,10,2,1410,89,279,997,4,1369,0,286,1073,4,1363,0,307,1030,7,1344,489,949,23,1461,437,999,25,1461,271230810
ST. PAUL W-2 P-15,0820,St. Paul,Ramsey,62,4,65,65B,05,02,4123,,,W-02,Precinct Tabulator,Accuvote,,2240,628,2016,97,0,0,2113,301,1758,20,1,1,0,7,2,2,0,10,2102,49,212,1631,40,30,3,1965,94,334,1470,4,1902,0,301,1568,6,1875,0,312,1534,5,1851,837,1205,71,2113,614,1407,92,2113,271230820
ST. PAUL W-3 P-01,0840,St. Paul,Ramsey,62,4,64,64B,04,02,4123,,,W-03,Precinct Tabulator,Accuvote,,1965,199,1770,169,8,0,1947,553,1351,21,1,0,1,12,0,1,1,2,1943,28,392,1461,7,3,1,1892,62,515,1281,2,1860,0,396,1197,1,1824,0,521,1276,2,1799,406,1519,22,1947,520,1399,28,1947,271230840
ST. PAUL W-3 P-02,0850,St. Paul,Ramsey,62,4,64,64B,04,02,4123,,,W-03,Precinct Tabulator,Accuvote,,2356,309,2113,203,3,0,2319,612,1636,23,1,0,0,27,1,2,2,7,2311,44,436,1737,18,19,1,2255,90,595,1540,1,2226,0,397,1439,3,2162,0,568,1547,9,2124,497,1801,21,2319,610,1685,24,2319,271230850
ST. PAUL W-3 P-03,0860,St. Paul,Ramsey,62,4,64,64B,05,02,4123,,,W-03,Precinct Tabulator,Accuvote,,2418,482,2266,239,8,1,2514,635,1801,22,1,2,2,24,3,0,4,11,2505,50,421,1913,27,25,0,2436,120,568,1674,5,2367,0,473,1579,3,2323,0,600,1686,3,2289,585,1885,44,2514,664,1794,56,2514,271230860
